id,timestamp,transactionType,accountId,amount,recipientId,status
1,2024-01-02T03:00:28,deposit,981,1636.00,null,success
2,2024-01-03T03:00:29,deposit,125,9116.00,null,success
3,2024-01-04T05:00:57,transfer,651,4194.00,215,balance_invalid
4,2024-01-05T07:01:08,transfer,97,6204.00,123,balance_invalid
5,2024-01-05T09:01:16,transfer,439,7618.00,418,balance_insufficient
6,2024-01-05T13:01:33,withdraw,362,2165.00,null,balance_invalid
7,2024-01-05T13:01:43,deposit,987,5100.00,null,account_invalid
8,2024-01-06T17:02:03,transfer,792,5445.00,897,success
9,2024-01-07T19:02:18,deposit,387,7518.96,null,account_invalid
10,2024-01-08T23:02:44,deposit,785,1623.00,null,success
11,2024-01-09T01:03:02,deposit,700,1755.00,null,success
12,2024-01-09T01:03:29,deposit,393,2797.00,null,success
13,2024-01-10T02:03:31,deposit,205,6929.41,null,balance_invalid
14,2024-01-10T04:03:44,deposit,256,1254.00,null,balance_invalid
15,2024-01-10T07:04:03,withdraw,17,9475.00,null,success
16,2024-01-10T11:04:14,transfer,798,224.00,457,account_invalid
17,2024-01-10T12:04:35,transfer,798,9779.00,684,balance_invalid
18,2024-01-10T15:05:01,transfer,164,3984.00,701,balance_invalid
19,2024-01-11T19:05:06,deposit,766,2393.00,null,account_invalid
20,2024-01-12T19:05:13,transfer,693,3374.00,87,balance_invalid
21,2024-01-13T23:05:27,deposit,922,1299.00,null,account_invalid
22,2024-01-14T03:05:36,transfer,362,3648.00,11,balance_invalid
23,2024-01-15T06:05:51,account_closure,561,0.00,null,success
24,2024-01-16T09:06:10,transfer,968,3479.00,37,account_invalid
25,2024-01-16T13:06:19,account_closure,549,0.00,null,balance_invalid
26,2024-01-17T16:06:44,withdraw,635,2486.00,null,success
27,2024-01-17T19:07:11,transfer,540,6244.00,727,success
28,2024-01-18T23:07:24,transfer,726,7831.00,608,balance_insufficient
29,2024-01-20T02:07:52,transfer,661,9124.00,56,success
30,2024-01-20T04:08:16,transfer,702,7634.58,479,success
31,2024-01-21T08:08:21,transfer,565,6804.00,416,account_invalid
32,2024-01-21T10:08:38,withdraw,988,6187.00,null,balance_insufficient
33,2024-01-22T13:08:43,deposit,823,8436.00,null,account_invalid
34,2024-01-23T17:08:53,withdraw,477,7789.66,null,balance_invalid
35,2024-01-23T19:09:15,transfer,582,3761.56,572,success
36,2024-01-23T22:09:25,account_closure,196,0.00,null,account_invalid
37,2024-01-24T22:09:27,transfer,688,3825.00,395,success
38,2024-01-26T01:09:46,deposit,117,5544.00,null,success
39,2024-01-27T03:09:47,transfer,429,6011.00,298,balance_invalid
40,2024-01-27T06:09:50,deposit,136,7012.23,null,success
41,2024-01-28T10:09:51,deposit,744,4173.00,null,success
42,2024-01-28T11:10:19,withdraw,844,7677.00,null,balance_insufficient
43,2024-01-28T15:10:32,transfer,550,8508.00,520,balance_invalid
44,2024-01-29T19:10:36,deposit,972,7171.15,null,account_invalid
45,2024-01-29T22:10:51,deposit,651,9100.00,null,success
46,2024-01-30T00:11:04,transfer,97,2194.02,955,success
47,2024-01-31T02:11:14,account_closure,901,0.00,null,balance_invalid
48,2024-02-01T06:11:43,deposit,501,686.00,null,balance_invalid
49,2024-02-02T10:11:58,transfer,2,9912.00,360,success
50,2024-02-02T12:12:24,transfer,263,8532.00,171,balance_insufficient
51,2024-02-03T14:12:36,deposit,183,4811.00,null,balance_invalid
52,2024-02-03T14:12:47,account_creation,336,0.00,null,success
53,2024-02-04T14:12:58,withdraw,216,4385.80,null,success
54,2024-02-04T18:13:09,deposit,938,4206.00,null,balance_invalid
55,2024-02-04T21:13:19,deposit,457,4728.00,null,balance_invalid
56,2024-02-04T21:13:35,withdraw,136,8162.00,null,account_invalid
57,2024-02-04T21:13:54,deposit,276,3025.00,null,balance_invalid
58,2024-02-05T21:14:19,withdraw,704,3976.00,null,success
59,2024-02-06T21:14:23,transfer,964,5672.00,132,account_invalid
60,2024-02-07T21:14:37,account_creation,110,0.00,null,balance_insufficient
61,2024-02-07T21:14:46,withdraw,111,7590.31,null,success
62,2024-02-07T21:15:08,transfer,986,9532.00,321,balance_invalid
63,2024-02-08T00:15:18,withdraw,355,4406.00,null,success
64,2024-02-09T02:15:20,withdraw,708,7074.00,null,account_invalid
65,2024-02-09T03:15:45,deposit,24,1641.00,null,balance_insufficient
66,2024-02-10T03:16:08,transfer,234,8822.28,990,success
67,2024-02-11T03:16:35,transfer,270,279.00,139,balance_insufficient
68,2024-02-11T05:16:37,withdraw,205,8390.00,null,balance_invalid
69,2024-02-12T06:17,deposit,114,7645.00,null,success
70,2024-02-13T10:17:02,withdraw,782,101.00,null,success
71,2024-02-13T14:17:02,transfer,445,2709.00,364,success
72,2024-02-14T15:17:17,transfer,294,1539.00,499,success
73,2024-02-15T17:17:46,withdraw,710,7876.00,null,balance_invalid
74,2024-02-16T18:18:11,deposit,107,7867.00,null,success
75,2024-02-16T18:18:26,withdraw,611,893.00,null,balance_insufficient
76,2024-02-16T19:18:39,deposit,741,2017.00,null,success
77,2024-02-16T23:19:08,transfer,687,7018.00,35,success
78,2024-02-18T01:19:19,deposit,595,5808.00,null,success
79,2024-02-18T02:19:43,transfer,187,5327.00,595,account_invalid
80,2024-02-18T04:20:09,transfer,230,6443.00,747,account_invalid
81,2024-02-18T06:20:15,deposit,765,9485.00,null,success
82,2024-02-19T10:20:20,transfer,1000,1416.00,308,balance_insufficient
83,2024-02-20T11:20:27,account_closure,241,0.00,null,balance_insufficient
84,2024-02-21T11:20:50,deposit,354,7903.00,null,balance_invalid
85,2024-02-22T13:21:02,deposit,150,2352.00,null,success
86,2024-02-23T16:21:11,deposit,794,4934.00,null,success
87,2024-02-23T17:21:29,deposit,526,8012.00,null,balance_invalid
88,2024-02-23T21:21:58,deposit,228,2888.00,null,balance_invalid
89,2024-02-23T23:22:24,transfer,564,4888.00,3,success
90,2024-02-25T01:22:45,withdraw,947,5172.89,null,balance_invalid
91,2024-02-26T01:23:11,withdraw,157,2921.00,null,balance_invalid
92,2024-02-26T02:23:31,transfer,699,390.00,7,balance_invalid
93,2024-02-26T05:23:50,account_closure,860,0.00,null,balance_invalid
94,2024-02-26T08:24:19,withdraw,480,8863.00,null,balance_invalid
95,2024-02-27T10:24:29,transfer,655,6322.14,597,balance_invalid
96,2024-02-28T11:24:44,deposit,35,5586.00,null,success
97,2024-02-29T12:24:50,transfer,204,3182.00,796,success
98,2024-02-29T13:25:19,account_creation,8,0.00,null,success
99,2024-02-29T14:25:47,deposit,205,692.00,null,success
100,2024-03-01T15:25:47,transfer,922,3822.00,440,account_invalid
101,2024-03-02T16:25:59,deposit,686,3151.00,null,balance_invalid
102,2024-03-03T18:26:27,deposit,714,9557.00,null,balance_invalid
103,2024-03-04T18:26:33,deposit,632,239.00,null,success
104,2024-03-04T18:26:43,transfer,637,7548.00,484,balance_invalid
105,2024-03-05T22:26:48,transfer,983,3291.00,453,success
106,2024-03-07T01:26:50,withdraw,879,4874.00,null,success
107,2024-03-07T04:26:52,account_closure,370,0.00,null,account_invalid
108,2024-03-07T06:27:14,deposit,453,2296.00,null,success
109,2024-03-08T10:27:31,deposit,53,1207.00,null,balance_invalid
110,2024-03-09T13:27:46,transfer,626,1081.00,378,success
111,2024-03-10T15:27:54,account_closure,354,0.00,null,success
112,2024-03-11T16:28:13,account_closure,164,0.00,null,success
113,2024-03-12T18:28:22,withdraw,406,2293.00,null,balance_invalid
114,2024-03-13T21:28:42,transfer,866,4334.65,764,success
115,2024-03-13T23:28:44,transfer,213,7735.37,152,account_invalid
116,2024-03-13T23:28:55,account_creation,960,0.00,null,balance_invalid
117,2024-03-14T00:28:58,deposit,932,8856.00,null,balance_invalid
118,2024-03-14T03:29:11,deposit,6,8941.00,null,balance_invalid
119,2024-03-15T05:29:26,deposit,721,846.39,null,balance_insufficient
120,2024-03-16T06:29:55,withdraw,43,2462.00,null,success
121,2024-03-17T09:29:59,deposit,7,235.51,null,success
122,2024-03-18T10:30:10,deposit,50,7147.00,null,balance_invalid
123,2024-03-19T14:30:31,deposit,298,4734.00,null,balance_insufficient
124,2024-03-20T14:30:36,account_creation,695,0.00,null,account_invalid
125,2024-03-21T18:30:42,account_closure,49,0.00,null,success
